"l1"	"l2"	"l3"	"l4"	"l5"	"l6"	"l7"	"l8"	"l9"	"l10"	"l11"	"l12"	"l13"	"l14"	"l15"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"
10.414631	4.587054	20.836503	19.901614	13.878464	16.553548	14.537592	0	0	4.912703	5.167277	108.704539	106.844329	15.434332	6.030518	0.246256	0.135199	0.238214	7.179144	1.363281	0.077395	0.103019	0.17619	4.879651	0.26176	61.707999	0.236075	24.404594	1.343126	0.558151	0.006883	0.002569	0.010618	0.029741	0.035582	0.011233	0.008799	0.140675	0.137574	0.049261	0.062323	0.052953	0.045038	0.017007	0.006181
10.064674	3.731513	19.710594	20.086048	14.329395	15.446325	14.365428	0	0	4.773405	5.771139	111.557795	108.256516	13.904577	6.484469	0.338814	0.137441	0.169283	8.301391	1.390223	0.059717	0.094047	0.165129	4.023925	0.25406	62.760192	0.228466	22.801437	1.321046	0.418676	0.008651	0.003951	0.013748	0.092853	0.038597	0.009208	0.0121	0.145886	0.128807	0.023939	0.037522	0.117931	0.12861	0.024679	0.01031
9.591316	4.723643	19.9717	18.811311	14.156186	14.996428	14.637977	0	0	5.770937	5.068583	109.090909	100.620363	13.938259	6.374389	0.262497	0.126588	0.060871	6.481427	1.262682	0.108206	0.088519	0.237301	4.664711	0.127328	53.710121	0.142202	23.836545	1.287158	0.503755	0.009277	0.003644	0.014265	0.07613	0.024534	0.009617	0.011491	0.076633	0.119904	0.007682	0.034237	0.042823	0.056979	0.012502	0.01023
9.269351	4.568033	20.805515	20.644563	14.745962	16.733058	14.985603	0	0	4.861453	4.490283	100.914797	106.970876	14.428794	5.243907	0.295521	0.147608	0.083325	8.986547	1.278785	0.096445	0.100319	0.211636	3.53843	0.218422	49.23381	0.107106	17.814695	1.167476	0.52403	0.008451	0.002802	0.011849	0.161555	0.027034	0.009008	0.014314	0.071521	0.037633	0.076042	0.049997	0.132627	0.105599	0.010897	0.004105
10.262561	3.808418	21.35367	20.41518	14.304776	15.303964	14.752621	0	0	5.118174	5.412917	110.792203	108.022406	14.436458	5.569301	0.27436	0.123356	0.23362	4.68098	1.287404	0.119842	0.084855	0.133511	4.783604	0.15542	59.374798	0.225611	21.892801	1.391229	0.414821	0.005627	0.003269	0.013316	0.106485	0.049788	0.009893	0.006502	0.169147	0.091041	0.060852	0.038949	0.107815	0.062578	0.015357	0.00745
10.043905	5.159827	19.147267	20.460768	14.932815	15.468382	14.687359	0	0	5.058478	5.57277	107.59215	104.482039	13.089424	5.973665	0.263491	0.110872	0.235752	5.797071	1.421959	0.101266	0.095693	0.279145	4.85001	0.217682	56.145677	0.233026	20.052134	1.302392	0.468716	0.006489	0.003153	0.015235	0.166289	0.043568	0.010726	0.012708	0.142319	0.029803	0.091635	0.045387	0.099979	0.111337	0.026165	0.008884
9.672262	4.544199	19.334066	19.68943	13.746637	16.588536	13.77496	0	0	5.264485	5.425305	114.329388	105.028504	13.4461	6.474889	0.27089	0.155218	0.253185	5.542166	1.2754	0.07673	0.097394	0.18862	4.364655	0.264898	58.24391	0.150776	18.180101	1.262803	0.520283	0.004114	0.003334	0.013455	0.170985	0.036026	0.009964	0.011629	0.088135	0.133949	0.108935	0.090167	0.037329	0.137713	0.028768	0.011714
9.829554	4.099125	19.698234	19.088451	14.565566	16.093828	14.43086	0	0	4.954705	4.90725	112.733754	103.111569	16.134566	6.1207	0.323577	0.162481	0.317391	7.298819	1.354147	0.085751	0.106645	0.172961	4.763746	0.199476	59.675876	0.149657	20.995216	1.373782	0.566211	0.007855	0.001609	0.012916	0.142108	0.032543	0.009665	0.006632	0.132759	0.144394	0.032265	0.054783	0.164865	0.161488	0.02565	0.008411
10.001392	3.838652	19.349056	19.776084	14.465445	15.231823	14.706035	0	0	5.463076	5.122129	109.486655	105.757074	15.350313	6.57771	0.235579	0.117603	0.127421	7.374628	1.218969	0.072853	0.085505	0.173149	5.172199	0.178541	61.403032	0.210503	21.497187	1.308825	0.421676	0.005295	0.002691	0.016113	0.10968	0.013846	0.008019	0.013644	0.112714	0.149324	0.059751	0.057419	0.119546	0.156226	0.019487	0.009668
10.39536	4.776398	18.972888	20.310138	14.864474	16.486734	14.836543	0	0	4.841709	4.930013	113.253697	106.535692	12.451198	5.711006	0.290907	0.118888	0.326775	5.353422	1.310578	0.082257	0.105817	0.25842	6.078372	0.243783	57.987229	0.242587	23.44263	1.192921	0.484447	0.006774	0.003379	0.014134	0.17511	0.006108	0.013647	0.010449	0.060315	0.102974	0.019998	0.079642	0.029162	0.127217	0.016646	0.009853
