"GASRR"	"GASClv"	"GASCrv"	"GASRub"	"GASRrc"	"GASRsc"	"GASRlc"	"GASVub"	"GASVrc"	"GASVsc"	"GASVlc"	"GAPRR"	"GCPRub"	"GCPRrc"	"GCPRsc"	"GCPRlc"	"GCPVub"	"GCPVrc"	"GCPVsc"	"GCPVlc"
0.00812	0.01306	0.018581	-0.180821	-0.193919	-0.157614	-0.108972	4.765531	1.38767	12.619061	7.943716	0.00903	-0.307223	-0.279447	-0.286153	-0.364314	16.497857	2.300899	59.647011	31.86667
0.01009	0.013872	0.021995	-0.155507	-0.066205	-0.157091	-0.115109	4.613529	1.185351	11.282883	7.924403	0.007996	-0.245779	-0.301217	-0.365841	-0.301604	13.03131	1.964848	75.489538	31.979713
0.013364	0.015349	0.024049	-0.073791	-0.1621	-0.189058	-0.125242	4.664314	1.374321	13.64083	6.271517	0.010846	-0.254408	-0.315389	-0.291748	-0.327522	10.756824	2.353499	59.097802	30.005654
0.006758	0.014365	0.019836	-0.152618	-0.156096	-0.089144	-0.104609	4.521077	1.149456	13.811127	7.12014	0.00592	-0.287126	-0.361203	-0.248657	-0.289972	12.011408	3.346776	62.647822	29.983364
0.015	0.0133	0.023467	-0.133261	-0.163769	-0.209314	-0.170748	4.837754	1.497049	10.873182	7.252954	0.014438	-0.37145	-0.276564	-0.351418	-0.303316	13.911441	2.281852	71.361132	23.529156
0.018497	0.013853	0.023915	-0.154127	-0.08179	-0.161004	-0.099279	5.70301	1.329979	12.919245	6.173282	0.012331	-0.314809	-0.341312	-0.262529	-0.377327	16.195975	2.256821	45.056956	37.107886
0.016071	0.013447	0.016426	-0.172778	-0.10512	-0.132921	-0.109225	6.232709	1.213072	11.87768	7.070189	0.007309	-0.329752	-0.297468	-0.242731	-0.354553	12.214301	2.552613	60.261117	33.261496
0.012329	0.014868	0.019524	-0.211602	-0.149433	-0.172067	-0.120064	4.999869	1.188339	11.116272	5.938719	0.007651	-0.288795	-0.323223	-0.312096	-0.361374	14.891461	2.977126	58.579349	26.278154
0.015423	0.013681	0.018865	-0.113255	-0.12299	-0.20188	-0.05929	4.859773	1.39377	15.572094	7.186105	0.01366	-0.381922	-0.317725	-0.277192	-0.300499	13.846713	2.542794	74.133035	36.050695
0.009729	0.015232	0.01847	-0.096817	-0.20033	-0.124612	-0.160672	5.061306	1.135936	15.53657	7.720401	0.00663	-0.241921	-0.298028	-0.372218	-0.322874	17.178793	2.322208	67.415327	31.179396
0.017846	0.013963	0.01744	-0.122997	-0.131562	-0.139333	-0.136997	5.291319	1.084851	15.874021	6.674857	0.006564	-0.300982	-0.3105	-0.23586	-0.31103	14.516114	2.334348	79.209381	32.760962
0.009147	0.014219	0.020906	-0.176843	-0.123214	-0.095381	-0.157777	5.681687	1.341647	12.301825	6.565675	0.009154	-0.310519	-0.271128	-0.319113	-0.228203	13.254856	2.862094	71.285162	25.541491
0.010682	0.014188	0.018063	-0.174351	-0.115675	-0.127203	-0.086252	4.708366	1.229238	14.520997	6.328317	0.002572	-0.334502	-0.29589	-0.331397	-0.231929	12.495114	2.759424	53.899052	33.488988
0.005703	0.013607	0.017565	-0.179031	-0.055318	-0.154782	-0.13591	5.51071	1.265812	15.07619	4.952688	0.011939	-0.313635	-0.257707	-0.3292	-0.295382	12.556863	2.572689	60.573245	34.53089
0.013078	0.01563	0.021345	-0.111727	-0.201514	-0.135353	-0.168071	5.148903	1.218556	12.107579	6.51185	0.013917	-0.253389	-0.370901	-0.238567	-0.22459	17.785792	3.294825	43.366616	29.451358
0.016944	0.013008	0.024801	-0.11618	-0.110492	-0.167198	-0.148829	6.199168	1.340284	11.493469	6.734924	0.009678	-0.298992	-0.278038	-0.330421	-0.294321	17.4065	2.823401	72.359909	22.597138
0.011816	0.013326	0.022891	-0.07967	-0.167984	-0.168877	-0.176178	4.338891	1.575711	12.188844	6.080278	0.013139	-0.280942	-0.303228	-0.314652	-0.381445	14.563067	2.700981	59.335659	31.548178
0.011712	0.013734	0.021863	-0.070174	-0.097077	-0.082955	-0.123867	5.074898	1.524595	11.94244	7.487572	0.011526	-0.357066	-0.363585	-0.256292	-0.298126	11.661756	2.721108	64.491807	33.383802
0.009711	0.014944	0.022238	-0.103702	-0.195841	-0.140697	-0.122716	5.8334	1.371512	14.251147	7.458048	0.007114	-0.335831	-0.226967	-0.254439	-0.351303	14.066685	3.245413	78.192255	30.955873
0.011892	0.015182	0.024337	-0.206944	-0.076356	-0.122292	-0.134272	5.103654	1.116693	12.708329	7.087945	0.008601	-0.271726	-0.286854	-0.332811	-0.330365	15.18563	2.841993	80.29647	29.232836
0.012852	0.014335	0.018739	-0.156709	-0.170397	-0.078031	-0.078988	5.32482	1.247099	15.139627	7.67338	0.012919	-0.332431	-0.274075	-0.297992	-0.292339	11.729015	2.505097	61.446144	38.344581
0.008585	0.013353	0.016874	-0.176219	-0.132267	-0.063935	-0.128871	6.164045	1.012964	12.02798	7.872603	0.009485	-0.364076	-0.292915	-0.30102	-0.350003	11.947553	2.141604	54.547311	33.852542
0.012191	0.013388	0.019458	-0.144003	-0.143356	-0.152979	-0.069896	5.182714	1.240428	12.344412	5.084524	0.010659	-0.304474	-0.333581	-0.276428	-0.313822	17.560328	2.440614	60.136938	24.436369
0.016332	0.013547	0.022745	-0.149522	-0.140833	-0.087219	-0.102636	4.351713	1.298937	12.552221	8.129666	0.008943	-0.338987	-0.313183	-0.252082	-0.307146	17.340886	2.882847	77.48367	27.652902
0.016813	0.012989	0.025207	-0.140476	-0.121284	-0.085676	-0.127407	4.826583	0.993411	13.372695	6.11603	0.01001	-0.320942	-0.317186	-0.274888	-0.244078	15.338653	2.741075	53.165689	37.665454
0.009439	0.014707	0.025703	-0.08229	-0.144856	-0.072999	-0.146866	4.469262	1.315546	16.001531	7.050216	0.009897	-0.287958	-0.253264	-0.280688	-0.28634	14.047183	2.579853	51.58055	28.568026
0.007083	0.012485	0.025599	-0.086778	-0.15086	-0.180423	-0.149794	6.033295	1.244586	15.441367	6.796722	0.010103	-0.264444	-0.320862	-0.317643	-0.325573	15.549881	2.29384	61.945406	32.407308
