"Cpa"	"Cpv"	"Rpa"	"Rpv"	"Rpc"	"Cesra"	"Cesrv"	"Cesla"	"Ceslv"	"Cdra"	"Cdrv"	"Cdla"	"Cdlv"	"Rtri"	"Rmit"
4.056284	5.641511	0.002386	0.009147	0.10049	1.274351	0.856419	1.725836	0.38768	2.586203	24.206352	2.476243	9.924119	0.006144	0.011148
3.656444	4.971605	0.007523	0.004371	0.0524	1.304244	1.526436	1.638681	0.28898	2.927103	25.99635	2.180145	9.288824	0.001947	0.01044
0.961228	6.954991	0.001107	0.009082	0.111775	1.63277	1.577439	1.935041	0.324042	2.711044	15.198195	1.34646	8.040521	0.010593	0.010368
4.313653	12.835868	0.004429	0.007169	0.058678	1.606381	2.045484	1.678552	0.390111	2.817975	19.387028	2.121725	8.093871	0.005924	0.010015
3.933935	9.6577	0.003795	0.006608	0.107916	1.388268	1.338041	1.792729	0.393523	3.477901	18.073874	2.326733	8.161776	0.004727	0.009522
2.662988	13.862487	0.005155	0.008923	0.075806	1.241742	1.275439	1.759961	0.418193	3.383435	22.279018	1.793387	11.580578	0.00596	0.01078
1.920346	7.774945	0.007421	0.002895	0.091746	1.506756	1.705304	1.68294	0.343734	3.372563	14.923657	1.65573	8.461928	0.005784	0.009975
4.950643	5.273855	0.006751	0.005957	0.06032	1.308016	1.938414	1.848361	0.273245	2.87512	24.821643	1.90074	9.579597	0.008362	0.010807
1.627685	12.857074	0.010302	0.00515	0.106896	1.18435	1.446617	1.442209	0.267726	3.435281	17.386977	2.066193	8.866748	0.001803	0.009164
4.128606	11.043879	0.002143	0.003399	0.075345	1.246711	1.862105	1.557018	0.479058	3.413999	20.879723	2.609417	9.153792	0.010743	0.009839
5.6982	12.497394	0.006456	0.001117	0.027362	1.196806	0.957344	1.887732	0.360995	3.631927	12.576914	1.725368	9.196067	0.007454	0.009222
1.497387	6.020381	0.002816	0.007449	0.090142	1.2183	0.588577	1.74872	0.469236	4.036315	22.168489	2.462313	10.051508	0.005284	0.009451
4.840897	9.45494	0.008976	0.007734	0.054027	1.416204	0.535578	1.83576	0.287737	2.733222	13.411608	1.917104	8.971234	0.00622	0.009423
3.322921	11.145116	0.007081	0.005899	0.045951	1.3178	1.732834	1.907288	0.339019	2.950138	16.777342	2.207999	9.050443	0.003393	0.00937
4.275693	7.848915	0.005916	0.00768	0.025777	1.577804	1.585707	1.58134	0.403589	3.111307	15.069002	1.98325	9.485834	0.005202	0.010398
