"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"1"	1	1	62.685615	96.809969	97.136678	7.995329	122.323246	70.456955	"0"	6.08907239948697	51.866291
"1"	1	2	63.082023	97.167487	93.641196	8.197579	122.483873	71.267599	"0"	5.90707607981951	51.216274
"1"	1	3	62.946317	98.910022	103.30855	8.882944	133.069297	65.010534	"0"	6.50289273711035	68.058763
"1"	1	4	62.56409	99.013489	104.942902	8.523242	131.373838	66.661677	"0"	6.56565716558918	64.712161
"1"	1	5	62.615037	98.302209	101.092102	8.483718	128.153431	68.880402	"0"	6.32988570713777	59.273029
"1"	1	6	62.691632	97.515976	95.998604	8.291627	124.258442	71.84637	"0"	6.01830915448173	52.412072
"1"	1	7	63.208438	96.885297	90.723667	8.200022	122.217825	71.77002	"0"	5.73450128070215	50.447805
"1"	1	8	63.122731	96.830282	92.41901	8.011924	121.050806	72.570618	"0"	5.83374030751631	48.480188
"1"	1	9	63.168152	97.887283	94.287207	8.243445	129.697352	67.105235	"0"	5.95594862343146	62.592117
"1"	1	10	63.205555	96.48355	92.932503	8.158858	118.903189	73.874061	"0"	5.87385042965416	45.029128
"1"	1	11	63.086252	97.869514	97.285998	8.163074	128.066909	67.988218	"0"	6.1374089858995	60.078691
"1"	1	12	62.620613	99.552738	106.433316	8.523599	136.373525	64.603952	"0"	6.66491949154271	71.769573
"1"	1	13	62.38064	99.149357	103.345125	8.706271	132.396634	67.028922	"0"	6.44673503838	65.367712
"1"	1	14	62.541758	98.048064	99.889926	8.6365	126.15807	70.424633	"0"	6.24729157852991	55.733437
"1"	1	15	63.330714	96.670897	91.393271	7.860031	121.356288	72.078501	"0"	5.78800110722549	49.277787
"1"	1	16	62.927063	97.061301	94.828003	7.981558	121.869033	72.447146	"0"	5.96724771894519	49.421887
"1"	1	17	63.042923	96.808151	91.131295	7.974654	120.829966	73.278998	"0"	5.74518321357528	47.550968
"1"	1	18	62.795722	97.670406	98.553023	8.281673	125.347559	70.350867	"0"	6.18870823456761	54.996692
